Acuarelas,Borrador,Calculadora,Cartulina,Clips,Compas,Cuaderno,Diccionario,Engrapadora,Folder,Lapicero,Lapiz,Libro_matematica,Libro_programacion,Marcadores,Memoria_USB,Novela,Pinceles,Regla,Resaltador
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False
False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False
False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False
False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
