antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Resaltador'}),frozenset({'Cuaderno'}),0.16756756756756758,0.23243243243243245,0.11891891891891893,0.7096774193548387,3.053263315828957,1.0,0.07997078159240321,2.643843843843844,0.8078512396694215,0.4230769230769231,0.621762835074966,0.6106526631657915
frozenset({'Resaltador'}),frozenset({'Lapicero'}),0.16756756756756758,0.22702702702702704,0.11351351351351352,0.6774193548387096,2.983870967741935,1.0,0.07547114682249817,2.396216216216216,0.7987012987012987,0.40384615384615385,0.582675389127002,0.5887096774193548
frozenset({'Acuarelas'}),frozenset({'Pinceles'}),0.2,0.21621621621621623,0.13513513513513514,0.6756756756756757,3.1249999999999996,1.0,0.0918918918918919,2.4166666666666665,0.85,0.4807692307692308,0.5862068965517241,0.6503378378378378
frozenset({'Pinceles'}),frozenset({'Acuarelas'}),0.21621621621621623,0.2,0.13513513513513514,0.625,3.125,1.0,0.0918918918918919,2.1333333333333333,0.8675862068965517,0.4807692307692308,0.53125,0.6503378378378378
frozenset({'Calculadora'}),frozenset({'Regla'}),0.23243243243243245,0.24864864864864866,0.12432432432432433,0.5348837209302325,2.1511627906976742,1.0,0.06653031409788167,1.6154054054054052,0.6971830985915494,0.3484848484848485,0.38096034800066914,0.5174418604651163
frozenset({'Memoria_USB'}),frozenset({'Libro_programacion'}),0.23243243243243245,0.24324324324324326,0.12432432432432433,0.5348837209302325,2.1989664082687335,1.0,0.06778670562454346,1.6270270270270268,0.7103490508266993,0.35384615384615387,0.38538205980066437,0.5229974160206718
frozenset({'Cuaderno'}),frozenset({'Resaltador'}),0.23243243243243245,0.16756756756756758,0.11891891891891893,0.5116279069767442,3.053263315828957,1.0,0.07997078159240321,1.7045045045045044,0.8761203585147248,0.4230769230769231,0.4133192389006343,0.6106526631657915
frozenset({'Libro_programacion'}),frozenset({'Memoria_USB'}),0.24324324324324326,0.23243243243243245,0.12432432432432433,0.5111111111111111,2.1989664082687335,1.0,0.06778670562454346,1.5700245700245699,0.7204968944099378,0.35384615384615387,0.3630672926447574,0.5229974160206718
frozenset({'Regla'}),frozenset({'Calculadora'}),0.24864864864864866,0.23243243243243245,0.12432432432432433,0.5,2.1511627906976742,1.0,0.06653031409788167,1.535135135135135,0.7122302158273381,0.3484848484848485,0.3485915492957747,0.5174418604651163
frozenset({'Lapicero'}),frozenset({'Resaltador'}),0.22702702702702704,0.16756756756756758,0.11351351351351352,0.5,2.9838709677419355,1.0,0.07547114682249817,1.6648648648648647,0.8601398601398601,0.40384615384615385,0.39935064935064934,0.5887096774193548
