registro_id,edad,ingresos,frecuencia_uso,gasto_promedio,satisfaccion,reclamos,antiguedad_meses,cluster_k2,cluster_k4
E-R0019,32,618,2.57,25.75,5.09,12,21,0,3
E-R0216,46,912,5.95,50.39,5.48,6,15,0,3
E-R0200,41,797,5.02,88.23,4.52,5,19,0,3
E-R0210,33,1164,4.34,22.84,3.96,6,14,0,3
E-R0238,40,1031,6.51,52.34,5.04,3,20,0,3
E-R0231,45,922,2.25,18.17,3.7,6,14,0,3
E-R0218,45,819,4.96,80.23,3.54,5,19,0,3
E-R0246,46,898,5.76,46.06,4.2,5,10,0,3
E-R0240,33,779,3.12,52.99,5.49,8,9,0,3
E-R0232,50,827,4.99,54.78,4.64,6,9,0,3
E-R0202,35,736,1.26,60.97,5.87,5,21,0,3
E-R0215,48,725,6.03,61.07,3.82,6,4,0,3
E-R0193,28,915,4.5,63.59,2.61,4,19,0,3
E-R0230,50,890,5.2,52.43,4.33,5,19,0,3
E-R0239,36,862,5.57,50.17,5.39,5,21,0,3
E-R0224,39,790,1.24,78.16,4.76,4,2,0,3
E-R0206,40,1008,3.16,81.46,7.15,5,7,0,3
E-R0208,40,936,2.91,68.64,5.89,4,10,0,3
E-R0221,38,692,2.34,36.02,3.89,5,6,0,3
E-R0211,45,929,2.33,63.79,3.9,4,12,0,3
E-R0205,46,691,6.98,91.23,3.93,5,9,0,3
E-R0213,37,701,3.74,94.83,5.03,6,20,0,3
E-R0219,43,1049,1.71,28.46,4.7,5,19,0,3
E-R0245,37,901,3.68,46.75,4.63,5,1,0,3
E-R0217,39,759,1.48,54.42,5.24,4,10,0,3
E-R0209,36,1179,2.85,62.27,3.1,4,23,0,3
E-R0207,42,761,4.68,59.25,4.71,6,12,0,3
E-R0204,45,889,2.49,66.26,3.91,4,1,0,3
E-R0222,45,1142,3.9,85.73,6.53,3,1,0,3
E-R0236,36,635,2.93,59.1,4.0,8,2,0,3
E-R0229,35,674,6.3,58.73,3.69,8,12,0,3
E-R0225,47,782,2.33,56.67,4.65,5,9,0,3
E-R0197,44,839,3.54,32.2,5.47,4,14,0,3
E-R0244,39,986,4.05,60.93,4.25,6,17,0,3
E-R0226,45,885,1.55,49.36,5.06,4,17,0,3
E-R0198,44,765,3.54,62.93,3.72,7,6,0,3
E-R0233,45,961,3.7,63.67,2.04,4,1,0,3
E-R0212,35,1207,4.55,65.8,2.48,6,30,0,3
E-R0195,42,888,5.36,95.26,5.14,4,5,0,3
E-R0227,38,839,4.6,69.61,6.25,5,21,0,3
E-R0237,44,834,5.62,53.3,5.17,7,4,0,3
E-R0196,37,696,5.43,78.56,3.63,6,35,0,3
E-R0203,55,982,5.41,55.18,4.28,4,2,0,3
E-R0214,47,579,5.61,41.83,4.9,5,23,0,3
E-R0235,37,763,2.6,49.98,5.04,5,5,0,3
E-R0201,44,468,6.09,68.23,5.34,7,16,0,3
E-R0242,52,808,4.67,61.71,4.24,5,5,0,3
E-R0194,37,779,3.51,56.44,5.88,5,4,0,3
E-R0199,44,713,0.0,64.87,3.39,5,27,0,3
E-R0241,39,955,2.04,71.09,4.24,5,8,0,3
E-R0228,48,589,3.2,75.15,3.94,4,20,0,3
E-R0234,50,925,3.45,82.73,4.84,6,20,0,3
E-R0243,36,901,3.81,54.68,4.23,3,1,0,3
E-R0223,36,424,2.66,87.4,4.47,4,1,0,3
